#contig	length
KI440196	29125
KI440569	28489
KI440493	22618
AXCQ01011956	1211
KI440087	46580
KI439655	55043
KI440083	30966
KI440392	17537
KI439001	856557
KI440592	16276
AXCQ01011462	3156
AXCQ01009492	15791
AXCQ01011277	4105
AXCQ01012022	1179
KI440093	21569
KI440052	63224
KI440168	25707
KI438980	1350141
AXCQ01011654	2196
KI440097	31245
AXCQ01011692	2072
KI439011	800541
KI439509	88679
AXCQ01011644	2264
KI438973	1705602
AXCQ01011793	1773
KI439468	124109
KI439531	91238
KI439615	71224
KI440302	23861
AXCQ01011079	3890
AXCQ01011076	4798
AXCQ01011587	2528
AXCQ01012068	1069
KI440623	12067
AXCQ01011700	2065
AXCQ01011166	4385
AXCQ01012046	1070
KI439692	53830
KI438992	1079598
AXCQ01011093	4681
KI439431	120945
KI439050	590478
KI439380	156569
KI439265	244939
KI439684	46798
KI440646	25098
AXCQ01011091	4782
KI440761	17054
AXCQ01011905	1403
AXCQ01011911	1430
KI439639	59543
KI439084	494878
KI439537	91125
AXCQ01010506	7454
AXCQ01006958	49657
KI439498	97575
AXCQ01011912	1429
KI439142	357025
KI438998	937192
KI440669	8419
AXCQ01011521	2850
KI439487	98658
KI439204	305372
KI440031	47024
KI439179	359047
AXCQ01009895	11430
AXCQ01010084	9854
KI439020	796158
KI440600	7264
KI439998	45644
KI439866	70777
KI440010	22266
KI439703	58263
KI440137	58116
AXCQ01010348	8860
KI439453	120526
KI440521	19246
KI439973	22893
AXCQ01009390	13837
KI439425	142076
AXCQ01009615	12505
KI439698	75623
KI439697	89843
KI440580	19378
AXCQ01010915	5400
KI439771	45413
KI440002	20588
KI439061	515454
KI439870	66964
AXCQ01009917	10704
AXCQ01010270	7650
AXCQ01010486	7577
AXCQ01006451	65244
KI439585	130076
KI440684	9301
AXCQ01009482	13251
KI440481	8665
KI439156	338167
KI439693	63356
KI440343	13885
AXCQ01011996	1176
KI439379	187181
KI439153	348077
AXCQ01011230	4259
KI439297	258123
AXCQ01011864	1564
KI440531	15437
AXCQ01011822	1676
KI440117	23502
AXCQ01007397	36616
AXCQ01010663	6679
KI439437	144670
AXCQ01011336	3875
AXCQ01011724	2007
KI439276	220710
KI439820	64072
KI440397	13937
KI439252	266263
AXCQ01006928	48835
KI440406	10276
KI440576	3714
KI439894	55599
KI439984	37469
KI439666	59549
KI440323	12599
KI439928	49961
KI440316	13817
KI440155	15964
KI439137	373984
AXCQ01011874	1441
AXCQ01011890	1381
KI439290	217107
AXCQ01011892	1420
KI440028	35787
KI439661	55913
KI440564	9696
KI440102	41637
AXCQ01010570	7188
KI439991	33284
KI440749	8376
AXCQ01008731	19528
KI440347	12864
AXCQ01011738	1914
KI439052	599766
KI439547	75647
KI439307	238054
KI439421	131954
KI440125	43193
KI439351	184791
AXCQ01011853	1596
AXCQ01011814	1729
KI439064	535967
AXCQ01008906	17239
KI439386	151757
AXCQ01011144	4408
KI440726	8813
AXCQ01011598	2452
KI439335	231709
