#contig	length
KB672286	30179321
KB672397	24066133
KB672413	22635183
KB672424	18068499
KB672435	15383611
KB672446	9735467
KB672457	8610254
KB672468	6169645
KB672479	4205160
KB672287	3115168
KB672298	2895919
KB672309	2815218
KB672320	2643688
KB672331	2547207
KB672342	1994720
KB672353	1845436
KB672375	1459936
KB672364	1390780
KB672404	1315522
KB672386	1286344
KB672398	1248850
KB672405	851493
KB672406	778592
KB672407	636932
KB672410	536223
KB672408	393488
KB672416	354531
KB672409	300361
KB672411	288597
KB672414	254859
KB672412	221820
KB672418	204975
KB672415	178137
KB672417	175421
KB672419	145999
KB672423	143873
KB672421	100133
KB672420	94628
KB672433	71678
KB672429	45286
KB672422	44380
KB672426	33409
KB672434	32633
KB672439	29281
KB672425	27612
KB672469	25311
KB672444	25239
KB672432	24493
KB672461	23962
KB672449	22748
KB672475	22198
KB672436	20983
KB672427	19773
KB672474	19711
KB672430	18260
KB672460	18200
KB672431	18172
KB672442	17893
KB672485	17779
KB672428	17536
KB672448	17211
KB672462	17106
KB672489	16472
KB672478	16205
KB672465	15272
KB672471	14499
KB672463	13788
KB672487	12526
KB672293	12523
KB672437	12171
KB672438	12164
KB672477	11746
KB672440	11097
KB672451	10886
KB672476	10871
KB672486	10236
KB672441	10150
KB672323	10099
KB672447	10007
KB672453	9933
KB672304	9666
KB672306	9644
KB672443	9624
KB672450	9303
KB672484	9188
KB672301	9159
KB672296	9050
KB672456	8925
KB672361	8919
KB672315	8918
KB672297	8874
KB672459	8816
KB672299	8733
KB672307	8600
KB672303	8354
KB672445	8323
KB672452	7937
KB672470	7658
KB672454	7066
KB672455	7052
KB672458	6982
KB672464	5761
KB672467	5283
KB672472	4852
KB672473	4730
KB672480	3970
KB672482	3919
KB672481	3882
KB672488	3467
KB672289	3284
KB672290	3226
KB672292	3225
KB672291	3161
KB672295	3078
KB672294	3058
KB672300	2970
KB672305	2943
KB672302	2871
KB672345	2789
KB672312	2607
KB672308	2601
KB672313	2594
KB672314	2592
KB672311	2583
KB672310	2564
KB672316	2390
KB672317	2325
KB672318	2325
KB672483	2241
KB672319	2212
KB672321	2209
KB672322	2200
KB672324	2196
KB672325	2188
KB672326	2165
KB672327	2137
KB672328	2098
KB672330	2031
KB672332	2021
KB672334	2009
KB672335	2009
KB672329	1974
KB672333	1953
KB672466	1953
KB672336	1942
KB672337	1924
KB672338	1887
KB672339	1826
KB672341	1800
KB672343	1796
KB672340	1776
KB672346	1696
KB672344	1694
KB672347	1682
KB672348	1571
KB672349	1546
KB672350	1519
KB672354	1502
KB672352	1492
KB672355	1489
KB672356	1485
KB672351	1464
KB672363	1406
KB672365	1393
KB672360	1390
KB672358	1389
KB672359	1384
KB672367	1371
KB672357	1322
KB672368	1316
KB672369	1314
KB672362	1301
KB672370	1300
KB672372	1288
KB672373	1288
KB672366	1280
KB672374	1276
KB672377	1258
KB672288	1250
KB672379	1246
KB672378	1241
KB672371	1235
KB672382	1225
KB672381	1222
KB672380	1222
KB672383	1216
KB672376	1209
KB672384	1200
KB672385	1194
KB672387	1187
KB672388	1174
KB672389	1160
KB672390	1148
KB672392	1120
KB672396	1115
KB672399	1099
KB672391	1083
KB672400	1081
KB672401	1061
KB672402	1058
KB672403	1053
KB672395	1045
KB672394	1033
KB672393	1012
