#contig	length
AXCK01027079	1869
KI399720	29546
AXCK01025096	3314
KI401356	7520
AXCK01026718	2028
AXCK01028636	1406
KI398793	64708
KI401044	9664
AXCK01018446	21865
AXCK01030497	1040
KI398664	73157
KI400495	15540
AXCK01028909	1348
AXCK01017683	24876
KI401250	8141
AXCK01030012	1135
KI399342	41335
AXCK01026984	1908
AXCK01030338	1074
AXCK01024157	5278
KI399552	34783
AXCK01024369	4697
KI398145	132478
AXCK01029065	1308
AXCK01027653	1662
KI399422	38422
AXCK01004312	128194
AXCK01026578	2088
AXCK01026882	1948
AXCK01011423	57441
KI399492	36111
KI400588	14394
KI401435	7177
AXCK01026891	1944
AXCK01024484	4445
AXCK01029471	1239
AXCK01027294	1786
AXCK01027228	1811
AXCK01025521	2741
AXCK01024563	4311
KI399837	27074
AXCK01024501	4430
KI402086	2833
KI401690	6061
AXCK01023547	6426
AXCK01027958	1579
KI401333	7646
KI399033	53613
KI401066	9440
AXCK01028505	1438
AXCK01022139	9305
KI399040	53342
AXCK01025383	2862
KI400515	15189
AXCK01027377	1757
AXCK01030598	1017
AXCK01028045	1551
KI398298	103407
KI399621	32423
AXCK01018379	22154
AXCK01024671	4080
AXCK01027042	1884
KI398333	103937
KI397848	291890
KI401800	5413
KI401420	7338
AXCK01026594	2081
KI400170	20518
KI398649	74411
KI400541	14854
KI400077	22292
AXCK01024285	4907
AXCK01028577	1420
KI400085	22165
AXCK01027567	1690
KI398116	138436
KI399900	25737
KI398455	90370
KI400835	11761
AXCK01024077	5441
KI398220	120205
AXCK01025450	2800
KI401292	7886
AXCK01027177	1829
AXCK01029582	1214
KI398698	70611
AXCK01024320	4824
KI397998	170065
AXCK01005841	106644
KI399112	50591
AXCK01027530	1706
AXCK01027537	1700
KI399661	31067
KI402009	3479
KI398997	54580
KI402129	2516
KI399819	27378
KI400235	19476
KI401520	6827
KI400754	12662
AXCK01020665	13945
KI398426	93075
AXCK01023856	5889
AXCK01023206	6972
AXCK01022299	8832
KI402030	3341
KI400901	11049
AXCK01027262	1796
KI400556	14657
AXCK01026170	2313
AXCK01019204	18854
KI399803	27691
AXCK01027100	1859
KI399564	34385
KI401172	8597
AXCK01029454	1241
KI398679	72048
AXCK01017352	26093
KI398583	80131
KI401213	8329
KI401786	5507
AXCK01028536	1432
KI400400	16885
AXCK01029354	1260
KI399579	33918
KI397907	219195
KI398617	77010
AXCK01029965	1143
KI400657	13732
AXCK01030222	1098
AXCK01028784	1374
AXCK01029397	1254
AXCK01025915	2466
AXCK01029402	1253
AXCK01021769	10427
AXCK01029663	1199
AXCK01029141	1301
AXCK01022905	7480
KI402033	3340
AXCK01028530	1433
KI397833	311973
AXCK01024255	5034
KI402169	2132
KI401307	7792
KI400319	18004
AXCK01027680	1654
KI398891	59811
AXCK01030024	1133
AXCK01024030	5521
AXCK01025755	2563
AXCK01030112	1116
AXCK01026379	2197
AXCK01023831	5937
KI398956	56564
AXCK01025309	2964
KI401988	3654
KI398136	133566
KI401597	6529
AXCK01025648	2631
AXCK01029370	1258
KI400959	10535
AXCK01025797	2538
AXCK01029694	1193
AXCK01026158	2320
KI401037	9732
AXCK01027874	1604
KI402059	3084
KI400676	13565
AXCK01029958	1145
AXCK01029013	1326
KI400156	20783
KI402150	2369
AXCK01027444	1734
AXCK01024694	4033
AXCK01028287	1489
KI400663	13697
AXCK01029806	1171
KI399352	41123
AXCK01026133	2330
KI398505	86474
AXCK01029186	1291
AXCK01026244	2274
KI401296	7865
AXCK01026798	1989
KI399313	42669
AXCK01027110	1856
AXCK01027791	1622
KI399550	34823
AXCK01025219	3092
KI401124	8946
KI397916	209243
AXCK01027597	1681
AXCK01029445	1243
KI398958	56626
KI401653	6211
AXCK01027207	1821
AXCK01028094	1538
AXCK01027371	1760
AXCK01028129	1530
KI400671	13603
AXCK01029270	1274
KI398926	58106
KI398040	158077
AXCK01026456	2153
AXCK01030508	1038
KI399142	49104
KI401060	9542
AXCK01028439	1453
KI399252	45566
AXCK01025925	2457
KI398808	64187
AXCK01028979	1331
AXCK01027451	1733
KI399227	46403
AXCK01015863	32800
AXCK01015773	33527
AXCK01027475	1725
AXCK01026567	2097
KI401908	4395
KI401432	7186
AXCK01025468	2782
AXCK01027922	1586
AXCK01029753	1181
AXCK01025777	2550
AXCK01025856	2504
AXCK01029333	1263
